Date,Open,High,Low,Close,Volume
2024-03-26 00:00:00+07:00,50.0,50.0,50.0,50.0,457700
2024-03-27 00:00:00+07:00,50.0,50.0,50.0,50.0,120600
2024-03-28 00:00:00+07:00,50.0,50.0,50.0,50.0,13300
2024-04-01 00:00:00+07:00,50.0,50.0,50.0,50.0,51400
2024-04-02 00:00:00+07:00,50.0,50.0,50.0,50.0,218000
2024-04-03 00:00:00+07:00,50.0,50.0,50.0,50.0,316200
2024-04-04 00:00:00+07:00,50.0,50.0,50.0,50.0,219800
2024-04-05 00:00:00+07:00,50.0,50.0,50.0,50.0,48500
2024-04-16 00:00:00+07:00,50.0,50.0,50.0,50.0,536300
2024-04-17 00:00:00+07:00,50.0,50.0,50.0,50.0,16005700
2024-04-18 00:00:00+07:00,50.0,50.0,50.0,50.0,7582300
2024-04-19 00:00:00+07:00,57.0,57.0,50.0,50.0,1428300
2024-04-22 00:00:00+07:00,50.0,50.0,50.0,50.0,217700
2024-04-23 00:00:00+07:00,50.0,50.0,50.0,50.0,27700
2024-04-24 00:00:00+07:00,50.0,51.0,50.0,51.0,7495300
2024-04-25 00:00:00+07:00,51.0,51.0,50.0,50.0,4910700
2024-04-26 00:00:00+07:00,50.0,50.0,50.0,50.0,2147600
2024-04-29 00:00:00+07:00,51.0,51.0,50.0,50.0,224700
2024-04-30 00:00:00+07:00,50.0,50.0,50.0,50.0,5700
2024-05-02 00:00:00+07:00,50.0,50.0,50.0,50.0,14000
2024-05-03 00:00:00+07:00,50.0,50.0,50.0,50.0,13500
2024-05-06 00:00:00+07:00,50.0,50.0,50.0,50.0,700
2024-05-07 00:00:00+07:00,50.0,50.0,50.0,50.0,8700
2024-05-08 00:00:00+07:00,50.0,50.0,50.0,50.0,2100
2024-05-13 00:00:00+07:00,50.0,50.0,50.0,50.0,101300
2024-05-14 00:00:00+07:00,50.0,50.0,50.0,50.0,2200
2024-05-15 00:00:00+07:00,50.0,50.0,50.0,50.0,1500
2024-05-16 00:00:00+07:00,50.0,50.0,50.0,50.0,64800
2024-05-17 00:00:00+07:00,50.0,50.0,50.0,50.0,12100
2024-05-20 00:00:00+07:00,50.0,50.0,50.0,50.0,800
2024-05-21 00:00:00+07:00,50.0,50.0,50.0,50.0,8100
2024-05-22 00:00:00+07:00,50.0,50.0,50.0,50.0,50600
2024-05-27 00:00:00+07:00,50.0,50.0,50.0,50.0,4700
2024-05-28 00:00:00+07:00,50.0,50.0,50.0,50.0,1400
2024-05-29 00:00:00+07:00,50.0,50.0,50.0,50.0,800
2024-05-30 00:00:00+07:00,50.0,50.0,50.0,50.0,500
2024-05-31 00:00:00+07:00,50.0,50.0,50.0,50.0,21300
2024-06-03 00:00:00+07:00,50.0,50.0,50.0,50.0,43500
2024-06-04 00:00:00+07:00,50.0,50.0,50.0,50.0,1100
2024-06-05 00:00:00+07:00,50.0,50.0,50.0,50.0,15900
2024-06-06 00:00:00+07:00,50.0,50.0,50.0,50.0,24200
2024-06-07 00:00:00+07:00,50.0,50.0,50.0,50.0,1000900
2024-06-10 00:00:00+07:00,50.0,50.0,50.0,50.0,5000
2024-06-11 00:00:00+07:00,50.0,50.0,50.0,50.0,500
2024-06-12 00:00:00+07:00,50.0,50.0,50.0,50.0,1101200
2024-06-13 00:00:00+07:00,50.0,50.0,50.0,50.0,400
2024-06-14 00:00:00+07:00,50.0,50.0,50.0,50.0,500
